[2026-01-23 22:41:02,511] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/middleman "HTTP/1.1 200 OK"
[2026-01-23 22:41:03,405] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/access_token "HTTP/1.1 200 OK"
[2026-01-23 22:41:04,328] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2026-01-23 22:41:04,335] 107 dagshub - INFO - Accessing as prakashsingh05
[2026-01-23 22:41:05,251] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/prakashsingh05/networksecurity "HTTP/1.1 200 OK"
[2026-01-23 22:41:06,168] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2026-01-23 22:41:06,181] 107 dagshub - INFO - Initialized MLflow to track repo "prakashsingh05/networksecurity"
[2026-01-23 22:41:06,182] 107 dagshub - INFO - Repository prakashsingh05/networksecurity initialized!
[2026-01-23 22:41:07,401] 24 root - INFO - ====================Data Ingestion log started.==================== 


[2026-01-23 22:41:07,402] 18 root - INFO - Initiate the data ingestion
[2026-01-23 22:41:25,707] 81 root - INFO - Performed train test split on the dataframe
[2026-01-23 22:41:25,707] 83 root - INFO - Exited the split_data_as_train_test method of Data Ingestion class
[2026-01-23 22:41:25,708] 90 root - INFO - Exporting train and test file path
[2026-01-23 22:41:25,897] 94 root - INFO - Exported train and test file path
[2026-01-23 22:41:25,900] 20 root - INFO - Data Initiation Completed
[2026-01-23 22:41:25,975] 24 root - INFO - Initiate the data Validation
[2026-01-23 22:41:26,138] 35 root - INFO - Required number of columns:2
[2026-01-23 22:41:26,138] 36 root - INFO - Data frame columns:31
[2026-01-23 22:41:26,139] 35 root - INFO - Required number of columns:2
[2026-01-23 22:41:26,140] 36 root - INFO - Data frame columns:31
[2026-01-23 22:41:26,585] 26 root - INFO - data Validation Completed
[2026-01-23 22:41:26,586] 29 root - INFO - data Transformation started
[2026-01-23 22:41:26,586] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2026-01-23 22:41:26,586] 65 root - INFO - Starting data transformation
[2026-01-23 22:41:26,654] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2026-01-23 22:41:26,654] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-01-23 22:41:26,684] 54 root - INFO - Entered the save_object method of MainUtils class
[2026-01-23 22:41:26,693] 58 root - INFO - Exited the save_object method of MainUtils class
[2026-01-23 22:41:26,694] 54 root - INFO - Entered the save_object method of MainUtils class
[2026-01-23 22:41:26,701] 58 root - INFO - Exited the save_object method of MainUtils class
[2026-01-23 22:41:26,705] 33 root - INFO - data Transformation completed
[2026-01-23 22:41:26,706] 35 root - INFO - Model Trainig started
[2026-01-23 22:53:32,428] 54 root - INFO - Entered the save_object method of MainUtils class
[2026-01-23 22:53:32,429] 58 root - INFO - Exited the save_object method of MainUtils class
[2026-01-23 22:53:32,429] 54 root - INFO - Entered the save_object method of MainUtils class
[2026-01-23 22:53:32,490] 58 root - INFO - Exited the save_object method of MainUtils class
[2026-01-23 22:53:32,490] 153 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifact\\01_23_2026_22_40_21\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9911072717109609, precision_score=0.988545362392296, recall_score=0.9936824943957612), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9862027594481104, precision_score=0.9860055977608957, recall_score=0.9864))
[2026-01-23 22:53:32,507] 42 root - INFO - Model Training artifact created
